"iddate","year","idgeo","isoalpha3","fuente","indicator","area","quintile","sex","education_level","age","ethnicity","disability","migration","value","level","se","cv","sample","quality_check"
"year",2012,"country","SLV","SLV-EHPM","indexrem","rural","Total","men","Total","Total","Total","Total","Total",1,54955,0,0,1071,""
"year",2012,"country","SLV","SLV-EHPM","indexrem","urban","Total","men","Total","Total","Total","Total","Total",1,67808,0,0,884,""
"year",2012,"country","SLV","SLV-EHPM","indexrem","rural","Total","women","Total","Total","Total","Total","Total",1,56037,0,0,1055,""
"year",2012,"country","SLV","SLV-EHPM","indexrem","urban","Total","women","Total","Total","Total","Total","Total",1,90571,0,0,1143,""
"year",2012,"country","SLV","SLV-EHPM","indexrem","rural","Total","Total","Total","Total","Total","Total","Total",1,110992,0,0,2126,""
"year",2012,"country","SLV","SLV-EHPM","indexrem","urban","Total","Total","Total","Total","Total","Total","Total",1,158379,0,0,2027,""
"year",2012,"country","SLV","SLV-EHPM","indexrem","Total","Total","men","Total","Total","Total","Total","Total",1,122763,0,0,1955,""
"year",2012,"country","SLV","SLV-EHPM","indexrem","Total","Total","women","Total","Total","Total","Total","Total",1,146608,0,0,2198,""
"year",2012,"country","SLV","SLV-EHPM","indexrem","Total","Total","Total","Total","Total","Total","Total","Total",1,269371,0,0,4153,""
"year",2012,"country","SLV","SLV-EHPM","ylmfem_ch","rural","Total","Total","Total","Total","Total","Total","Total",0.416504224276384,9355,0.0477180576968581,8286.77588960018,3927.19981252717,""
"year",2012,"country","SLV","SLV-EHPM","ylmfem_ch","urban","Total","Total","Total","Total","Total","Total","Total",0.467440525336962,11653,0.0674455223197528,14881.2356656139,5431.64690386379,""
"year",2012,"country","SLV","SLV-EHPM","ylmfem_ch","Total","Total","Total","Total","Total","Total","Total","Total",0.450647596738818,21008,0.0456510379224295,12761.0474711304,9358.84671639096,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","rural","Total","men","Total","00_04","Total","Total","Total",0.490163352613354,51101,0.00154825204794976,0.315864505107348,1901,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","rural","Total","men","Total","05_14","Total","Total","Total",0.506188420827868,132755,0.000976264275587601,0.192865785825548,4729,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","rural","Total","men","Total","15_24","Total","Total","Total",0.371044474879262,92655,0.000966721788585653,0.26054067747545,4448,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","rural","Total","men","Total","25_64","Total","Total","Total",0.381005396343061,145445,0.000786004731335301,0.206297532496777,6671,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","rural","Total","men","Total","65+","Total","Total","Total",0.403277190399431,31773,0.00174767577680341,0.433368367566835,1409,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","urban","Total","men","Total","00_04","Total","Total","Total",0.147132957523967,20489,0.000949271079161752,0.645179091847673,1704,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","urban","Total","men","Total","05_14","Total","Total","Total",0.154328832406672,56347,0.00059787780748351,0.387405125898991,4312,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","urban","Total","men","Total","15_24","Total","Total","Total",0.0995875898502,38419,0.000482117537673626,0.484114073248312,4433,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","urban","Total","men","Total","25_64","Total","Total","Total",0.08766724892988,67402,0.000322535571964608,0.36790885524717,8285,""
"year",2012,"country","SLV","SLV-EHPM","pobreza31","urban","Total","men","Total","65+","Total","Total","Total",0.129608437832604,16196,0.000950138088525238,0.733083512473464,1436,""
